date,home,away,spread,homeWL,awayWL
1450584000000,DEN,NOP,-5,0.4230769230769231,0.2692307692307692
1450584000000,TOR,SAC,-10,0.6071428571428571,0.38461538461538464
1450670400000,UTA,PHO,21,0.44,0.41379310344827586
1450670400000,LAC,OKC,-1,0.5714285714285714,0.6666666666666666
1450670400000,WAS,SAC,14,0.44,0.4074074074074074
1450670400000,CHI,BRK,-3,0.6,0.25925925925925924
1450670400000,HOU,CHO,7,0.5,0.5769230769230769
1450670400000,NYK,ORL,-8,0.5,0.5555555555555556
1450670400000,BOS,MIN,14,0.5185185185185185,0.4074074074074074
1450670400000,SAS,IND,14,0.8214285714285714,0.6153846153846154
1450670400000,ATL,POR,9,0.5862068965517241,0.3793103448275862
1450756800000,PHI,MEM,-14,0.034482758620689655,0.5172413793103449
1450756800000,TOR,DAL,4,0.5862068965517241,0.5555555555555556
1450756800000,DEN,LAL,-4,0.4074074074074074,0.14814814814814814
1450756800000,MIA,DET,-1,0.6153846153846154,0.5714285714285714
1450843200000,GSW,UTA,18,0.9629629629629629,0.46153846153846156
1450843200000,CLE,NYK,7,0.72,0.4827586206896552
1450843200000,MIN,SAS,-25,0.39285714285714285,0.8275862068965517
1450843200000,NOP,POR,26,0.2962962962962963,0.36666666666666664
1450843200000,IND,SAC,-2,0.5925925925925926,0.39285714285714285
1450843200000,CHO,BOS,-13,0.5555555555555556,0.5357142857142857
1450843200000,ATL,DET,7,0.6,0.5862068965517241
1450843200000,PHO,DEN,-8,0.4,0.39285714285714285
1450843200000,BRK,DAL,-1,0.2857142857142857,0.5357142857142857
1450843200000,MIL,PHI,13,0.3793103448275862,0.03333333333333333
1450843200000,ORL,HOU,3,0.5714285714285714,0.5172413793103449
1450843200000,LAL,OKC,-35,0.17857142857142858,0.6785714285714286
1450843200000,WAS,MEM,9,0.46153846153846156,0.5333333333333333
1451016000000,HOU,SAS,4,0.5,0.8333333333333334
1451016000000,GSW,CLE,6,0.9642857142857143,0.7307692307692307
1451016000000,MIA,NOP,6,0.5925925925925926,0.32142857142857145
1451016000000,OKC,CHI,-9,0.6896551724137931,0.5769230769230769
1451016000000,LAL,LAC,-10,0.1724137931034483,0.5517241379310345
1451102400000,PHO,PHI,-7,0.3870967741935484,0.03225806451612903
1451102400000,POR,CLE,29,0.3548387096774194,0.7037037037037037
1451102400000,DAL,CHI,7,0.5517241379310345,0.5925925925925926
1451102400000,MIL,TOR,-21,0.4,0.6
1451102400000,NOP,HOU,2,0.3103448275862069,0.5161290322580645
1451102400000,BRK,WAS,-15,0.27586206896551724,0.48148148148148145
1451102400000,MIN,IND,-14,0.3793103448275862,0.5714285714285714
1451102400000,DET,BOS,-6,0.5666666666666667,0.5517241379310345
1451102400000,ORL,MIA,-7,0.5862068965517241,0.6071428571428571
1451102400000,SAS,DEN,15,0.8064516129032258,0.41379310344827586
1451102400000,CHO,MEM,6,0.5357142857142857,0.5161290322580645
1451102400000,UTA,LAC,-5,0.4444444444444444,0.5666666666666667
1451102400000,ATL,NYK,19,0.6129032258064516,0.4666666666666667
1451188800000,OKC,DEN,10,0.6666666666666666,0.4
1451188800000,MEM,LAL,16,0.5,0.16666666666666666
1451188800000,SAC,POR,-4,0.41379310344827586,0.375
1451188800000,BOS,NYK,9,0.5666666666666667,0.45161290322580644
1451275200000,UTA,PHI,4,0.42857142857142855,0.0625
1451275200000,SAS,MIN,6,0.8125,0.36666666666666664
1451275200000,CHI,TOR,7,0.5714285714285714,0.6129032258064516
1451275200000,MIA,BRK,-6,0.6206896551724138,0.26666666666666666
1451275200000,IND,ATL,6,0.5862068965517241,0.625
1451275200000,ORL,NOP,15,0.5666666666666667,0.3333333333333333
1451275200000,PHO,CLE,-4,0.375,0.6785714285714286
1451275200000,DAL,MIL,10,0.5666666666666667,0.3870967741935484
1451275200000,GSW,SAC,19,0.9655172413793104,0.4
1451275200000,WAS,LAC,-17,0.5,0.5806451612903226
1451275200000,CHO,LAL,10,0.5517241379310345,0.16129032258064516
1451361600000,NYK,DET,12,0.4375,0.5483870967741935
1451361600000,MEM,MIA,9,0.5151515151515151,0.6
1451361600000,OKC,MIL,8,0.6774193548387096,0.375
